Neo Reference ID,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Relative Velocity km per sec,Miss Dist.(Astronomical),Orbit ID,Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Inclination,Perihelion Distance,Aphelion Dist
3713008,25.8,0.0183888672,0.0411187571,10.6104166555,0.0036966898,6,1491467710.0,7,0.00450357,7.294208401811106,0.8886146317845371,2.496378401923554
2396794,17.8,0.7320739893,1.6369672047,27.6245503031,0.3825160952,34,1491470515.0,0,0.184158,43.65114507102636,0.6235855609558055,3.084768840573271
3645649,24.7,0.0305179233,0.0682401509,19.6482727113,0.471608977,13,1491468308.0,3,0.0285671,4.22223501558565,0.8309051117035368,1.254310276575814
3465683,21.1,0.160160338,0.358129403,19.2109731022,0.3756166984,14,1491469218.0,4,0.179884,26.5620020718469,0.6667864135062442,1.222427949829358
2438990,18.3,0.5815070396,1.30028927,39.6241313317,0.397913172,30,1491470434.0,1,0.0658877,33.82544596339837,0.3154309423567715,2.189352252277062
3471976,27.7,0.0076657557,0.0171411509,14.9462381672,0.2824010372,6,1491469176.0,7,0.000237267,0.078468797200656,0.8789025090386334,1.374693673679865
2154652,18.8,0.4619074603,1.0328564805,11.1415822453,0.4279081319,107,1493015032.0,0,0.235932,16.17394580401898,0.5816164703978579,1.535458985446386
3754314,19.8,0.2914439045,0.6516883822,33.831660781,0.4755555318,11,1499321869.0,3,0.295139,30.93296512715471,0.3709299276626228,1.820305090709947
3703545,22.3,0.0921626549,0.2060819612,17.1496975667,0.4780127487,15,1491467786.0,3,0.0661538,6.321997456036145,0.464742468216654,1.309614533078248
3656925,21.7,0.1214940408,0.2716689341,10.4990634716,0.1921762803,28,1502345861.0,2,0.0536154,17.1434789112377,0.9281791934106172,1.511657618827705
3752416,21.0,0.1677084622,0.3750075218,6.0229192093,0.4497564832,24,1491467183.0,4,0.272729,13.14909252084956,1.277635060708386,1.577395876120574
2488490,21.7,0.1214940408,0.2716689341,7.9143760224,0.3272300969,34,1495002006.0,1,0.0181806,2.408373826125851,0.747816497410525,1.32035259156346
3167348,21.9,0.1108038821,0.2477650126,29.8191900473,0.3448075662,20,1491470012.0,0,0.070206,28.5952346722244,0.4136708577231313,1.40467339337909
3321534,24.4,0.0350392641,0.0783501764,10.4796213462,0.3668099386,8,1491469749.0,8,0.0186789,20.88037835352494,0.9520342098393468,1.657349182051671
3174196,18.1,0.6376097899,1.4257388333,37.1742967031,0.28096945,31,1491469994.0,0,0.0513192,17.02682963153786,0.3376337022621349,5.777233497444396
3780807,22.758,0.0746371378,0.1668937138,8.1481225017,0.1310155473,7,1505197229.0,7,0.0142626,12.77656069194936,1.026580267877377,1.59418061098388
3763098,26.7,0.0121494041,0.0271668934,15.4003065467,0.4171904829,4,1491466953.0,4,0.00356576,9.466958333592531,0.5905076087629347,1.210531484460909
3726710,24.3,0.0366906138,0.0820427065,19.4850295263,0.0269230459,5,1491467534.0,7,0.0261237,27.4948145168215,0.8997108735862982,3.851705409804122
3425295,20.8,0.1838886721,0.411187571,34.313544249,0.2218632266,11,1491469385.0,1,0.0534663,35.73116112103001,0.3147356490256601,2.097574115481447
3640745,18.5,0.5303407233,1.1858779086,21.1842499027,0.3550459761,33,1498112418.0,1,0.0116339,32.82330336027078,1.007752542613111,4.123647581907386
2186823,19.2,0.3841978911,0.8590926012,18.7982710639,0.3032120576,54,1491470748.0,0,0.23759,21.96101120956536,0.3894118873097228,2.020610088031485
3772846,26.286,0.0147012742,0.0328730484,6.0473887069,0.1508953996,9,1491466744.0,5,0.0103874,2.539145967632703,0.64956780723976,1.160126808716703
3729541,22.6,0.0802703167,0.1794898848,24.5934823194,0.4852072617,16,1491467489.0,3,0.00131448,1.645734558882875,0.4811067741873433,3.492079404376345
3726511,20.4,0.2210828104,0.4943561926,23.6682777004,0.4436276333,14,1491467542.0,6,0.0603378,16.12663522341424,0.331111676486094,1.081259715546863
2418846,21.3,0.1460679643,0.3266178974,9.1074966262,0.1622802682,29,1491470473.0,0,0.151332,16.69314907086297,1.132576107204327,2.064364982178058
3508131,22.7,0.0766575574,0.1714115092,13.7810299994,0.0476254758,22,1491469103.0,0,0.0440685,25.92016783109386,0.965431501827993,1.300964164858782
3166087,24.6,0.0319561887,0.0714562102,5.9616273727,0.3346714279,13,1491470013.0,7,0.0283618,5.369505070876614,0.9090376208622584,1.488368750271875
3092310,22.7,0.0766575574,0.1714115092,4.9834501049,0.3049133129,12,1491470173.0,1,0.300639,7.265658888228114,1.274143209101567,1.347382097182243
3092296,24.3,0.0366906138,0.0820427065,6.439325187,0.0483954159,12,1491470186.0,7,0.00336216,4.625123200742138,0.8373331868375422,1.176031959459128
3548241,25.3,0.0231502122,0.0517654482,8.8278212816,0.0245670633,10,1491468984.0,7,0.0235905,14.38957792798539,1.008202562212452,1.84761362923467
2164342,20.8,0.1838886721,0.411187571,16.121100475,0.2618834432,27,1491470765.0,1,0.177699,19.16980817782769,1.00303084173767,2.136727061852208
2136770,20.5,0.2111324448,0.4721064988,16.0610728977,0.0962147192,21,1491470883.0,0,0.0886756,25.10976224415651,1.008123822924353,2.669229078776477
3752014,24.5,0.0334622374,0.0748238376,10.9213325608,0.2044512259,10,1499149166.0,7,0.0370423,13.65596458290274,1.037667547087311,1.855266620326667
3768606,20.1,0.2538370294,0.5675968529,18.1145891295,0.2648227026,8,1491466823.0,5,0.172999,11.67987329626518,0.4345605116560998,2.605492046807751
3063789,23.9,0.04411182,0.0986370281,27.2106369125,0.4633332291,11,1491470204.0,6,0.0129264,11.74281001245522,0.507640541022126,1.301162529162986
2101955,20.19,0.2435314063,0.5445527791,5.8941390182,0.2791466022,95,1504333195.0,0,0.0032228,6.034939391321328,0.896894363022636,1.355887689026542
2054509,22.7,0.0766575574,0.1714115092,21.6037494491,0.4903177485,85,1491470941.0,0,0.00276915,1.833144648741673,0.7701169696151129,1.229966790168342
2002340,20.2,0.2424124811,0.5420507863,15.069399215,0.0599836679,60,1414177685.0,0,0.00687373,5.854591233229053,0.4642038295088863,1.223454661566417
2023183,16.0,1.6770846216,3.750075218,23.392083355,0.2807832493,170,1500358799.0,0,0.257566,40.95787681394609,1.0920970317475,2.556021600013991
3655398,24.2,0.0384197891,0.0859092601,13.8958992838,0.312187638,9,1491468192.0,6,0.036039,4.151419360342046,0.9559883546185812,1.541040946969299
3752572,27.6,0.0080270317,0.0179489885,5.3663961551,0.1719631121,14,1491467175.0,6,0.000161065,0.0579300478099678,0.7412278528828034,1.285239913069935
2396793,20.1,0.2538370294,0.5675968529,14.3828211868,0.4209661835,27,1491470515.0,0,0.286119,19.76609421451883,0.4179850401456034,1.717474090650803
3072196,24.5,0.0334622374,0.0748238376,11.2868147134,0.2623579908,16,1491470189.0,6,0.025664,11.63229032649051,0.9324572731363344,1.045889768717454
3314048,24.2,0.0384197891,0.0859092601,13.289003425,0.2955696108,10,1491469754.0,6,0.0274085,5.903973907216583,0.8963969426038833,1.160296943377525
3373683,19.4,0.3503926411,0.7835017643,9.3048655227,0.0362417486,44,1493792300.0,1,0.0215286,15.08972042172532,0.924256148461097,1.198138092922917
3741971,27.5,0.008405334,0.0187948982,6.5258101082,0.0173122077,5,1491467321.0,7,0.0177474,3.43502785693691,0.8860163860899668,1.483003822306488
2417217,19.6,0.3195618867,0.7145621017,13.4659080184,0.2236634994,43,1491470478.0,1,0.0293369,19.58638660283496,0.3196893478616331,1.102451591599704
3648643,24.5,0.0334622374,0.0748238376,10.8266966692,0.0449593783,12,1491468273.0,7,0.0157152,4.341887964842829,0.6453962665900835,1.516661811037179
2162004,18.2,0.6089126221,1.3615700154,31.6093275563,0.3311658109,165,1491470801.0,0,0.0578928,7.220327144353877,0.2988513146212599,1.482739709404972
2424965,18.8,0.4619074603,1.0328564805,31.3915350379,0.4209516294,37,1491470463.0,1,0.0513984,28.86867583079357,0.4167980668761637,1.208201197433645
3763950,27.7,0.0076657557,0.0171411509,16.3175017471,0.3146738527,4,1491466925.0,7,0.00404359,2.928490774793029,0.9659912377529204,2.269219681393944
3763621,19.7,0.3051792326,0.6824015094,12.0347677163,0.3192186979,20,1501136484.0,4,0.0505682,14.89157831673725,0.9921897009639142,2.351635674503502
3709961,25.5,0.0211132445,0.0472106499,7.9850511343,0.0225407966,3,1491467747.0,7,0.023429,11.64376022164764,1.00137335783439,1.991143082500209
3330689,24.4,0.0350392641,0.0783501764,14.6851764215,0.3870564736,16,1498025840.0,0,0.021176,5.565071112894867,0.9996136278037018,1.46760239654394
3678562,21.0,0.1677084622,0.3750075218,19.9605417935,0.3782216857,16,1496470674.0,3,0.219446,27.78314127573827,0.751827602678696,1.315962525525776
2461353,20.8,0.1838886721,0.411187571,16.1739957352,0.2051579936,22,1491470381.0,0,0.0505078,13.05216300682719,0.7062455793130589,1.314274441504276
3409964,20.8,0.1838886721,0.411187571,8.4843896778,0.2205855878,32,1491469412.0,2,0.0497576,7.906473496389842,0.7404470355956286,1.363711769686226
3532401,21.8,0.1160259082,0.2594418179,11.3915944961,0.2960977498,10,1491469033.0,5,0.106548,9.033354626165425,0.6802317125127046,1.179819418556729
2237805,17.3,0.9216265485,2.0608196123,24.7600475872,0.4450532999,152,1505370021.0,0,0.0927002,35.30957183840756,1.056780247733015,2.151452146182465
2153002,18.2,0.6089126221,1.3615700154,28.4318467033,0.0718289162,68,1495088473.0,0,0.0275536,31.46243669280093,0.2738382609643079,2.407362592885788
3143084,24.3,0.0366906138,0.0820427065,12.5917373373,0.1986955692,15,1491470077.0,2,0.00180294,2.341697091268065,0.785948851610315,1.182049314158307
3361624,19.5,0.3346223745,0.7482383761,21.3431387643,0.422165136,31,1491469649.0,0,0.1083,39.54266148697652,0.8955617123115357,2.558727364735608
